price ,offering ,location ,pincode,contact ,brand ,ownernum ,rating 
1000,Western ,Vega City ,560076,080679 22393,Celio ,1018,4.4
1500,Ethnic,Vega City ,560076,805643214,Assesorize London,1019,5
2000,"Western, Ethnic",Vega City ,560076,1800 123 1555,Lifestyle,1020,4
30000,Suits,Vega City ,560076,080679 22373,Van Heusen,1021,4
7000,Ethnic,Vega City ,560076,080679 22464,Manyavar,1022,5
800,"Kids, Men and Women",JP Nagar,560078,080 4094 5524,Max ,1023,4
2000,Suits,JP Nagar,560078,080 4853 7145,Raymond,1024,4
5000,Ethnic,JP Nagar,560078,095131 95151,Fabindia Store,1025,4
6000,"Kids, Men and Women",JP Nagar,560078,080 4092 1010,Soch,1026,3
7000,"Kids, Men and Women",Indiranagar ,560038,075838 96939,W for Women ,1027,4
