restaurantname,cuisine,location,price,pincode,owernum,rating,contact
Spice Elephant,"Chinese, North Indian, Thai",Banashankari,800,560050,1001,4,080 41714161
San Churro Cafe,"Cafe, Mexican, Italian",Banashankari,800,560050,1002,3,9663487993
Addhuri Udupi Bhojana,"South Indian, North Indian",Banashankari,300,560050,1003,3,9620009302
Onesta,"Pizza, Cafe, Italian",Banashankari,600,560050,1004,4,"080 48653961
080 48655715"
Smacznego,"Cafe, Mexican, Italian, Momos, Beverages",Banashankari,550,560050,1005,4,"91 9945230807
91 9743804471"
Abhiruchi Hotel,"Andhra, Biryani, North Indian, Chinese",Bannerghatta Road,550,560076,1006,3,8041470003
Tulips,"North Indian, South Indian, Chinese, Continental",Bannerghatta Road,800,560076,1007,3,"080 22420994
080 22421076"
Tisano Cafe,"Cafe, Fast Food, Chinese, Continental",Bannerghatta Road,500,560076,1008,3,91 8884440087
Cafe Kabana,"Cafe, Continental",Bannerghatta Road,700,560076,1009,4,"91 8884044348
91 8762989999"
Butterly,"Cafe, Bakery, Beverages",Bannerghatta Road,450,560076,1010,3,91 7338636363
Aagaman Veg,"North Indian, Chinese, South Indian",Indiranagar,900,560038,1011,4,"080 40956662
080 40926663"
Byblos,"Lebanese, Arabian, Middle Eastern, Salad, Beverages",Indiranagar,1700,560038,1012,4,"080 25200411
080 41605027"
The Restaurant - Coorg,South Indian,Indiranagar,1100,560038,1013,4,"91 9448200122
91 9008100544"
Copper Chimney,"North Indian, Biryani",Indiranagar,1200,560038,1014,4,"91 8043757714
91 8043757715"
Annapoorani,South Indian,Indiranagar,1400,560038,1015,3,"080 25252288
91 9845044470"
Angeethi,"Indian, Asian",Church Street ,900,560017,1016,4,8041113340
Drinks on MG,"Italian, European, Spanish ",Church Street ,900,560017,1017,4,8041123512
